title,original_title,year,duration_mins,rating,votes,countries_available,url,mubi_url
Việt and Nam,Trong Lòng Đất,2024,129,8.0,1741,238,https://mubifinder.com/movie/viet-and-nam/,https://mubi.com/films/viet-and-nam
Notes of a Crocodile,,2024,18,5.3,1017,248,https://mubifinder.com/movie/notes-of-a-crocodile/,https://mubi.com/films/notes-of-a-crocodile
Tellurian Drama,,2020,26,7.4,863,248,https://mubifinder.com/movie/tellurian-drama/,https://mubi.com/films/tellurian-drama
Oxhide,Niu Pi,2005,109,7.5,576,247,https://mubifinder.com/movie/oxhide/,https://mubi.com/films/oxhide
Cemetery of Splendour,รักที่ขอนแก่น | Rak ti Khon Kaen,2015,122,8.1,4769,227,https://mubifinder.com/movie/cemetery-of-splendour/,https://mubi.com/films/cemetery-of-splendour
An Asian Ghost Story,,2023,37,7.8,1705,247,https://mubifinder.com/movie/an-asian-ghost-story/,https://mubi.com/films/an-asian-ghost-story
Pebbles,Koozhangal,2021,76,8.0,1315,247,https://mubifinder.com/movie/pebbles-2021/,https://mubi.com/films/pebbles-2021
Untitled 77-A,Muje 77-A,1977,6,6.9,1866,248,https://mubifinder.com/movie/untitled-77-a/,https://mubi.com/films/untitled-77-a
Dead Knot,死結 | Sijie,1969,18,6.3,1062,248,https://mubifinder.com/movie/dead-knot/,https://mubi.com/films/dead-knot
Blue Velvet,,1986,121,8.5,31318,47,https://mubifinder.com/movie/blue-velvet/,https://mubi.com/films/blue-velvet
Thelma & Louise,,1991,130,8.7,13484,33,https://mubifinder.com/movie/thelma-louise/,https://mubi.com/films/thelma-louise
Gerhard Richter Painting,,2012,98,8.6,1818,202,https://mubifinder.com/movie/gerhard-richter-painting/,https://mubi.com/films/gerhard-richter-painting
Yellow Smile,Sarı Tebessüm,1993,119,7.2,243,1,https://mubifinder.com/movie/yellow-smile/,https://mubi.com/films/yellow-smile
Drive My Car,ドライブ・マイ・カー,2021,179,9.0,64379,102,https://mubifinder.com/movie/drive-my-car/,https://mubi.com/films/drive-my-car
When I Saw You,Lamma Shoftak,2012,98,8.3,1313,181,https://mubifinder.com/movie/when-i-saw-you/,https://mubi.com/films/when-i-saw-you
Escapism,Kaçanlar,2024,15,7.5,717,1,https://mubifinder.com/movie/escapism-2024/,https://mubi.com/films/escapism-2024
Harvest of Light,Işığın Hasadı,2024,52,9.1,276,1,https://mubifinder.com/movie/harvest-of-light/,https://mubi.com/films/harvest-of-light
Mariner of the Mountains,Marinheiro das Montanhas,2021,98,8.7,4016,168,https://mubifinder.com/movie/mariner-of-the-mountains/,https://mubi.com/films/mariner-of-the-mountains
The Nile Hilton Incident,,2017,111,8.4,4166,142,https://mubifinder.com/movie/the-nile-hilton-incident/,https://mubi.com/films/the-nile-hilton-incident
Attenberg,,2010,98,7.4,8877,219,https://mubifinder.com/movie/attenberg/,https://mubi.com/films/attenberg
Blood of My Blood,Sangue del mio sangue,2015,109,7.1,1531,195,https://mubifinder.com/movie/blood-of-my-blood-2015/,https://mubi.com/films/blood-of-my-blood-2015
Corpo celeste,,2011,95,8.0,7309,212,https://mubifinder.com/movie/corpo-celeste/,https://mubi.com/films/corpo-celeste
Fists in the Pocket,I pugni in tasca,1965,110,8.3,3747,176,https://mubifinder.com/movie/fists-in-the-pocket/,https://mubi.com/films/fists-in-the-pocket
La ciénaga,,2001,101,8.3,12203,233,https://mubifinder.com/movie/la-cienaga/,https://mubi.com/films/la-cienaga
Paris Belongs to Us,Paris nous appartient,1961,142,7.4,1814,34,https://mubifinder.com/movie/paris-belongs-to-us/,https://mubi.com/films/paris-belongs-to-us
The 400 Blows,Les quatre cents coups,1959,96,9.0,48591,26,https://mubifinder.com/movie/the-400-blows/,https://mubi.com/films/the-400-blows
Appropriate Behavior,,2014,86,7.5,3716,209,https://mubifinder.com/movie/appropriate-behavior/,https://mubi.com/films/appropriate-behavior
Certain Women,,2016,107,7.9,2838,15,https://mubifinder.com/movie/certain-women-2016/,https://mubi.com/films/certain-women-2016
The Piano Accident,L'accident de piano,2025,88,7.5,8222,209,https://mubifinder.com/movie/l-accident-de-piano/,https://mubi.com/films/l-accident-de-piano
Superbad,,2007,113,6.9,4807,1,https://mubifinder.com/movie/superbad/,https://mubi.com/films/superbad
Reprise,,2006,107,8.2,25659,201,https://mubifinder.com/movie/reprise/,https://mubi.com/films/reprise
Closer,,2004,104,6.9,8319,1,https://mubifinder.com/movie/closer/,https://mubi.com/films/closer
Festen,,1998,101,9.1,35449,213,https://mubifinder.com/movie/festen/,https://mubi.com/films/festen
Plaza,,2020,82,6.8,170,1,https://mubifinder.com/movie/plaza/,https://mubi.com/films/plaza
The Blue Angel,Der blaue Engel,1930,110,8.2,3094,24,https://mubifinder.com/movie/the-blue-angel/,https://mubi.com/films/the-blue-angel
Metropolis,,1927,150,8.8,18776,27,https://mubifinder.com/movie/metropolis/,https://mubi.com/films/metropolis
Faust,Faust: Eine deutsche Volkssage,1926,108,8.7,2314,1,https://mubifinder.com/movie/faust-1926/,https://mubi.com/films/faust-1926
Exhibition,,2013,105,7.0,2021,214,https://mubifinder.com/movie/exhibition/,https://mubi.com/films/exhibition
Unrelated,,2007,96,7.1,9286,245,https://mubifinder.com/movie/unrelated/,https://mubi.com/films/unrelated
Archipelago,,2010,115,7.3,2579,183,https://mubifinder.com/movie/archipelago/,https://mubi.com/films/archipelago
Athlete,Atlet,2025,80,6.9,531,1,https://mubifinder.com/movie/athlete/,https://mubi.com/films/athlete
The Neon Demon,,2016,118,6.6,9498,14,https://mubifinder.com/movie/the-neon-demon/,https://mubi.com/films/the-neon-demon
Sometimes I Think About Dying,,2023,94,8.1,22731,51,https://mubifinder.com/movie/sometimes-i-think-about-dying-2023/,https://mubi.com/films/sometimes-i-think-about-dying-2023
The Mastermind,,2025,111,6.7,25665,234,https://mubifinder.com/movie/the-mastermind/,https://mubi.com/films/the-mastermind
Gabbeh,,1996,73,8.0,941,2,https://mubifinder.com/movie/gabbeh/,https://mubi.com/films/gabbeh
The Diary of an Exile,Bir Sürgünün Not Defteri: Misina,2025,73,9.4,346,1,https://mubifinder.com/movie/the-diary-of-an-exile/,https://mubi.com/films/the-diary-of-an-exile
A Dessert for Constance,Un dessert pour Constance,1981,61,8.5,1770,248,https://mubifinder.com/movie/un-dessert-pour-constance/,https://mubi.com/films/un-dessert-pour-constance
Night Moves,,2013,113,7.1,9165,218,https://mubifinder.com/movie/night-moves-2013/,https://mubi.com/films/night-moves-2013
Old Joy,,2006,74,7.5,9254,186,https://mubifinder.com/movie/old-joy/,https://mubi.com/films/old-joy
River of Grass,,1994,76,7.3,5031,214,https://mubifinder.com/movie/river-of-grass/,https://mubi.com/films/river-of-grass
AliEN0089,,2023,22,6.8,1398,248,https://mubifinder.com/movie/alien0089/,https://mubi.com/films/alien0089
2015,,2024,57,9.4,18459,101,https://mubifinder.com/movie/episode-1-2015/,https://mubi.com/films/episode-1-2015
Wherever the Path Takes Us,Yol Bizi Nereye Götürürse,2023,17,7.3,485,1,https://mubifinder.com/movie/wherever-the-path-takes-us/,https://mubi.com/films/wherever-the-path-takes-us
Morî,,2024,19,8.5,800,1,https://mubifinder.com/movie/mori/,https://mubi.com/films/mori
Wetlands,Feuchtgebiete,2013,109,6.8,2668,183,https://mubifinder.com/movie/wetlands-2013/,https://mubi.com/films/wetlands-2013
Oray,,2019,101,7.2,309,1,https://mubifinder.com/movie/oray/,https://mubi.com/films/oray
Sexual Drive,,2021,70,6.8,8454,247,https://mubifinder.com/movie/sexual-drive/,https://mubi.com/films/sexual-drive
Nosferatu,Nosferatu – Eine Symphonie des Grauens,1922,95,8.4,14884,21,https://mubifinder.com/movie/nosferatu/,https://mubi.com/films/nosferatu
The Last Laugh,Der letzte Mann,1924,90,8.8,3591,1,https://mubifinder.com/movie/the-last-laugh/,https://mubi.com/films/the-last-laugh
The Cabinet of Dr. Caligari,Das Cabinet des Dr. Caligari,1920,77,8.5,7720,1,https://mubifinder.com/movie/the-cabinet-of-dr-caligari/,https://mubi.com/films/the-cabinet-of-dr-caligari
The Lovers on the Bridge,Les Amants du Pont-Neuf,1991,126,8.7,9771,23,https://mubifinder.com/movie/the-lovers-on-the-bridge/,https://mubi.com/films/the-lovers-on-the-bridge
Hysteria,,2025,104,8.0,1299,1,https://mubifinder.com/movie/hysteria-2025/,https://mubi.com/films/hysteria-2025
Flux Gourmet,,2022,111,7.4,1083,200,https://mubifinder.com/movie/flux-gourmet/,https://mubi.com/films/flux-gourmet
Boiling Point,,2021,95,8.1,2024,1,https://mubifinder.com/movie/boiling-point-2021/,https://mubi.com/films/boiling-point-2021
The Loneliest Planet,,2011,113,6.5,5498,195,https://mubifinder.com/movie/the-loneliest-planet/,https://mubi.com/films/the-loneliest-planet
MimiRap,,2023,7,6.5,158,1,https://mubifinder.com/movie/mimirap/,https://mubi.com/films/mimirap
Neredesin,,2017,8,5.7,141,1,https://mubifinder.com/movie/neredesin/,https://mubi.com/films/neredesin
Lost in the Post,,2011,5,4.8,235,1,https://mubifinder.com/movie/lost-in-the-post/,https://mubi.com/films/lost-in-the-post
Any Time in October,Ekim'de Hiçbir Kere,2006,26,3.8,142,1,https://mubifinder.com/movie/any-time-in-october/,https://mubi.com/films/any-time-in-october
Song of Sea,Deniz Türküsü,2001,4,7.0,189,1,https://mubifinder.com/movie/song-of-sea/,https://mubi.com/films/song-of-sea
Magic Farm,,2025,93,7.5,13534,244,https://mubifinder.com/movie/magic-farm/,https://mubi.com/films/magic-farm
Fragments for Venus,Miu Miu Women's Tales #30,2025,21,8.1,3775,248,https://mubifinder.com/movie/fragments-for-venus/,https://mubi.com/films/fragments-for-venus
Martin Eden,,2019,129,8.4,10471,117,https://mubifinder.com/movie/martin-eden/,https://mubi.com/films/martin-eden
Lost and Beautiful,Bella e perduta,2015,88,8.2,1585,169,https://mubifinder.com/movie/lost-and-beautiful/,https://mubi.com/films/lost-and-beautiful
Soul Kitchen,,2009,96,8.3,20659,230,https://mubifinder.com/movie/soul-kitchen/,https://mubi.com/films/soul-kitchen
The Myth of the American Sleepover,,2010,96,6.9,4111,223,https://mubifinder.com/movie/the-myth-of-the-american-sleepover/,https://mubi.com/films/the-myth-of-the-american-sleepover
Alps,Alpeis,2011,94,6.9,10033,217,https://mubifinder.com/movie/alps/,https://mubi.com/films/alps
Kinetta,Κινέττα,2005,98,5.2,4878,217,https://mubifinder.com/movie/kinetta/,https://mubi.com/films/kinetta
To a Land Unknown,,2024,106,8.4,495,1,https://mubifinder.com/movie/to-a-land-unknown/,https://mubi.com/films/to-a-land-unknown
Winter in Sokcho,Hiver à Sokcho,2024,105,8.5,12583,158,https://mubifinder.com/movie/winter-in-sokcho/,https://mubi.com/films/winter-in-sokcho
Listen Up Philip,,2014,109,7.2,5216,202,https://mubifinder.com/movie/listen-up-philip/,https://mubi.com/films/listen-up-philip
The Adventures of Sukran the Lame,Topal Şükran'ın Maceraları,2019,75,6.9,469,1,https://mubifinder.com/movie/the-adventures-of-sukran-the-lame/,https://mubi.com/films/the-adventures-of-sukran-the-lame
Thou Gild'st the Even,Sen Aydınlatırsın Geceyi,2013,107,8.1,1150,1,https://mubifinder.com/movie/thou-gild-st-the-even/,https://mubi.com/films/thou-gild-st-the-even
El Planeta,,2021,82,7.4,4943,227,https://mubifinder.com/movie/el-planeta/,https://mubi.com/films/el-planeta
Delicatessen,,1991,99,8.0,14925,73,https://mubifinder.com/movie/delicatessen/,https://mubi.com/films/delicatessen
My Uncle,Dayım,1999,14,8.8,7231,1,https://mubifinder.com/movie/my-uncle/,https://mubi.com/films/my-uncle
The City of Lost Children,La Cité des enfants perdus,1995,112,7.9,7750,15,https://mubifinder.com/movie/the-city-of-lost-children/,https://mubi.com/films/the-city-of-lost-children
Hey There!,Seni Buldum Ya!,2021,82,7.5,7297,1,https://mubifinder.com/movie/hey-there-2021/,https://mubi.com/films/hey-there-2021
Cosmos,Kosmos,2009,122,8.0,1582,1,https://mubifinder.com/movie/kosmos/,https://mubi.com/films/kosmos
Times and Winds,Beş Vakit,2006,107,8.1,3353,4,https://mubifinder.com/movie/times-and-winds/,https://mubi.com/films/times-and-winds
Big Big World,Koca Dünya,2016,101,7.6,647,1,https://mubifinder.com/movie/big-big-world/,https://mubi.com/films/big-big-world
Singing Women,Şarkı Söyleyen Kadınlar,2013,118,6.4,296,1,https://mubifinder.com/movie/singing-women/,https://mubi.com/films/singing-women
Jin,Jîn,2013,122,7.6,819,1,https://mubifinder.com/movie/jin/,https://mubi.com/films/jin
My Only Sunshine,Hayat Var,2008,122,7.9,2486,1,https://mubifinder.com/movie/my-only-sunshine/,https://mubi.com/films/my-only-sunshine
What's a Human Anyway,Korkuyorum Anne,2004,129,8.1,1981,1,https://mubifinder.com/movie/what-s-a-human-anyway/,https://mubi.com/films/what-s-a-human-anyway
A Run for Money,Kaç para kaç,1999,94,8.0,1722,1,https://mubifinder.com/movie/a-run-for-money/,https://mubi.com/films/a-run-for-money
Manhunter,,1986,120,7.4,3572,3,https://mubifinder.com/movie/manhunter/,https://mubi.com/films/manhunter
"Tomato, Pepper, Depression",Domates Biber Depresyon,2024,69,8.6,487,1,https://mubifinder.com/movie/tomato-pepper-depression/,https://mubi.com/films/tomato-pepper-depression
"Oh, Moon!",A Ay,1988,98,8.0,2002,248,https://mubifinder.com/movie/oh-moon/,https://mubi.com/films/oh-moon
Ran,乱,1985,162,9.1,24060,22,https://mubifinder.com/movie/ran/,https://mubi.com/films/ran
Behind Open Doors,Açık Kapılar Ardında,2023,63,6.7,1382,1,https://mubifinder.com/movie/behind-open-doors-2023/,https://mubi.com/films/behind-open-doors-2023
Come True,,2020,105,6.8,422,123,https://mubifinder.com/movie/come-true/,https://mubi.com/films/come-true
Dormitory,Yurt,2023,113,8.5,1077,1,https://mubifinder.com/movie/dormitory/,https://mubi.com/films/dormitory
Billy Elliot,,2000,110,7.7,4677,16,https://mubifinder.com/movie/billy-elliot/,https://mubi.com/films/billy-elliot
Chained for Life,,2018,91,7.5,1211,220,https://mubifinder.com/movie/chained-for-life-2018/,https://mubi.com/films/chained-for-life-2018
It's Burning,Es brennt,2023,89,9.0,753,1,https://mubifinder.com/movie/it-s-burning/,https://mubi.com/films/it-s-burning
We Are the Flesh,Tenemos la carne,2016,80,5.6,1254,217,https://mubifinder.com/movie/tenemos-la-carne/,https://mubi.com/films/tenemos-la-carne
Good Morning Mom,Günaydın Anne,2024,17,6.6,411,1,https://mubifinder.com/movie/good-morning-mom/,https://mubi.com/films/good-morning-mom
Recce,,2024,20,6.9,819,1,https://mubifinder.com/movie/recce/,https://mubi.com/films/recce
The Awareness of Dreaming,Rüyada Olduğunu Fark Ediyor İnsan,2024,19,7.5,639,1,https://mubifinder.com/movie/the-awareness-of-dreaming/,https://mubi.com/films/the-awareness-of-dreaming
Hollywood 90028,The Hollywood Hillside Strangler,1973,88,6.7,1945,248,https://mubifinder.com/movie/hollywood-90028/,https://mubi.com/films/hollywood-90028
Three Kilometres to the End of the World,Trei kilometri până la capătul lumii,2024,103,7.8,517,1,https://mubifinder.com/movie/three-kilometres-to-the-end-of-the-world/,https://mubi.com/films/three-kilometres-to-the-end-of-the-world
Dona Flor and Her Two Husbands,Dona Flor e Seus Dois Maridos,1976,118,8.5,12219,248,https://mubifinder.com/movie/dona-flor-and-her-two-husbands/,https://mubi.com/films/dona-flor-and-her-two-husbands
We're All Going to the World's Fair,,2021,86,6.3,1787,198,https://mubifinder.com/movie/we-re-all-going-to-the-world-s-fair/,https://mubi.com/films/we-re-all-going-to-the-world-s-fair
"Dreams, Hopes and Rotating Dolphins","Hayaller, Umutlar ve Dönen Yunuslar",2024,11,7.2,456,1,https://mubifinder.com/movie/dreams-hopes-and-rotating-dolphins/,https://mubi.com/films/dreams-hopes-and-rotating-dolphins
Hit the Road,Jadde khaki,2021,94,8.9,11338,38,https://mubifinder.com/movie/hit-the-road-2021/,https://mubi.com/films/hit-the-road-2021
Wild Diamond,Diamant brut,2024,104,7.6,3332,24,https://mubifinder.com/movie/wild-diamond/,https://mubi.com/films/wild-diamond
Arizona Dream,,1993,141,7.7,3201,1,https://mubifinder.com/movie/arizona-dream/,https://mubi.com/films/arizona-dream
The Killing of a Sacred Deer,,2017,121,7.8,12603,31,https://mubifinder.com/movie/the-killing-of-a-sacred-deer/,https://mubi.com/films/the-killing-of-a-sacred-deer
Plastic Dream,Plastik Rüya,2021,21,7.2,6647,1,https://mubifinder.com/movie/plastic-dream/,https://mubi.com/films/plastic-dream
Anatomy of a Fall,Anatomie d'une chute,2023,152,8.8,17393,20,https://mubifinder.com/movie/anatomy-of-a-fall/,https://mubi.com/films/anatomy-of-a-fall
Apocalypse Now,Apocalypse Now (Theatrical Cut),1979,153,9.0,35942,23,https://mubifinder.com/movie/apocalypse-now/,https://mubi.com/films/apocalypse-now
Dementia 13,,1963,75,6.4,2653,19,https://mubifinder.com/movie/dementia-13/,https://mubi.com/films/dementia-13
Once Upon a Time in the Future: 2121,Bir Zamanlar Gelecek: 2121,2022,92,6.9,404,1,https://mubifinder.com/movie/once-upon-a-time-in-the-future-2121/,https://mubi.com/films/once-upon-a-time-in-the-future-2121
Inland Empire,,2006,180,7.8,13395,45,https://mubifinder.com/movie/inland-empire/,https://mubi.com/films/inland-empire
Mulholland Drive,Mulholland Dr.,2001,147,8.8,59552,40,https://mubifinder.com/movie/mulholland-drive/,https://mubi.com/films/mulholland-drive
The Elephant Man,,1980,124,8.7,23154,45,https://mubifinder.com/movie/the-elephant-man/,https://mubi.com/films/the-elephant-man
The Straight Story,,1999,112,8.7,12464,37,https://mubifinder.com/movie/the-straight-story/,https://mubi.com/films/the-straight-story
Vice Is Broke,,2024,101,7.3,4442,97,https://mubifinder.com/movie/vice-is-broke/,https://mubi.com/films/vice-is-broke
Hello My Dear,Merhaba Canım,2021,58,8.9,4919,1,https://mubifinder.com/movie/hello-my-dear/,https://mubi.com/films/hello-my-dear
Soil,,2017,19,6.2,131,1,https://mubifinder.com/movie/soil-2017/,https://mubi.com/films/soil-2017
Tulliana,Bars,2023,109,7.4,160,1,https://mubifinder.com/movie/tulliana/,https://mubi.com/films/tulliana
The Ugly Stepsister,Den stygge stesøsteren,2025,110,8.6,28935,33,https://mubifinder.com/movie/the-ugly-stepsister/,https://mubi.com/films/the-ugly-stepsister
Neukölln Spiderman,,2024,57,7.7,242,1,https://mubifinder.com/movie/neukolln-spiderman/,https://mubi.com/films/neukolln-spiderman
The Golden Glove,Der Goldene Handschuh,2019,110,7.8,7052,133,https://mubifinder.com/movie/the-golden-glove/,https://mubi.com/films/the-golden-glove
In the Fade,Aus dem Nichts,2017,106,8.3,7367,133,https://mubifinder.com/movie/in-the-fade/,https://mubi.com/films/in-the-fade
The Wind Will Carry Us,Bad ma ra khahad bord,1999,118,8.5,11513,24,https://mubifinder.com/movie/the-wind-will-carry-us/,https://mubi.com/films/the-wind-will-carry-us
Lâl,,2020,15,8.2,341,1,https://mubifinder.com/movie/lal/,https://mubi.com/films/lal
Avarya,,2018,20,8.4,386,1,https://mubifinder.com/movie/avarya/,https://mubi.com/films/avarya
Golden Shot,,2015,9,8.2,349,1,https://mubifinder.com/movie/golden-shot/,https://mubi.com/films/golden-shot
Hot Milk,,2025,93,7.4,19830,47,https://mubifinder.com/movie/hot-milk-2023/,https://mubi.com/films/hot-milk-2023
A Quiet Summer,,2022,12,5.4,120,1,https://mubifinder.com/movie/a-quiet-summer-2022/,https://mubi.com/films/a-quiet-summer-2022
The Balconettes,Les femmes au balcon,2024,104,7.7,3880,21,https://mubifinder.com/movie/the-balconettes/,https://mubi.com/films/the-balconettes
Universal Language,Une langue universelle,2024,89,8.1,838,3,https://mubifinder.com/movie/universal-language/,https://mubi.com/films/universal-language
Near Orouet,Du côté d'Orouët,1971,161,7.6,1050,220,https://mubifinder.com/movie/du-cote-dorouet/,https://mubi.com/films/du-cote-dorouet
A Cup of Turkish Coffee,Bir Fincan Türk Kahvesi,2013,8,7.4,567,1,https://mubifinder.com/movie/a-cup-of-turkish-coffee/,https://mubi.com/films/a-cup-of-turkish-coffee
On the Shore,Kıyıda,2023,95,7.2,842,1,https://mubifinder.com/movie/on-the-shore-2023/,https://mubi.com/films/on-the-shore-2023
A Season in Hakkari,Hakkâri'de Bir Mevsim,1983,110,9.1,5453,1,https://mubifinder.com/movie/a-season-in-hakkari/,https://mubi.com/films/a-season-in-hakkari
Eight Postcards from Utopia,Opt ilustrate din lumea ideală,2024,71,7.1,917,235,https://mubifinder.com/movie/eight-postcards-from-utopia/,https://mubi.com/films/eight-postcards-from-utopia
April,,2024,134,7.3,2681,75,https://mubifinder.com/movie/april/,https://mubi.com/films/april
The Doll,Gukla,2024,22,6.2,250,1,https://mubifinder.com/movie/the-doll-2024/,https://mubi.com/films/the-doll-2024
Memento,,2000,113,8.2,36934,1,https://mubifinder.com/movie/memento/,https://mubi.com/films/memento
Les Misérables,,2019,101,8.3,2277,1,https://mubifinder.com/movie/les-miserables-2019/,https://mubi.com/films/les-miserables-2019
Toxic,Akiplėša,2024,100,7.7,6871,224,https://mubifinder.com/movie/toxic-2024/,https://mubi.com/films/toxic-2024
For the Blinds,,2014,94,5.6,36,1,https://mubifinder.com/movie/for-the-blinds/,https://mubi.com/films/for-the-blinds
Children of the White Mountain,Beyaz Dağın Çocukları,2023,20,8.5,501,1,https://mubifinder.com/movie/children-of-the-white-mountain/,https://mubi.com/films/children-of-the-white-mountain
Moon,Mond,2024,93,7.7,6523,213,https://mubifinder.com/movie/mond/,https://mubi.com/films/mond
Mimaroğlu Remix Project,,2025,49,7.2,54,1,https://mubifinder.com/movie/mimaroglu-remix-project/,https://mubi.com/films/mimaroglu-remix-project
Mimaroğlu: The Robinson of Manhattan Island,,2020,77,8.1,1794,1,https://mubifinder.com/movie/mimaroglu-the-robinson-of-manhattan-island/,https://mubi.com/films/mimaroglu-the-robinson-of-manhattan-island
Bergman: A Year in a Life,"Bergman - ett år, ett liv",2018,117,8.5,606,1,https://mubifinder.com/movie/bergman-a-year-in-a-life/,https://mubi.com/films/bergman-a-year-in-a-life
The Funeral,Cenaze,2023,109,5.7,484,1,https://mubifinder.com/movie/the-funeral-2023/,https://mubi.com/films/the-funeral-2023
The Antenna,Bina,2019,116,5.4,158,1,https://mubifinder.com/movie/the-antenna/,https://mubi.com/films/the-antenna
Omar,Ömer,2013,99,8.3,1479,1,https://mubifinder.com/movie/omar/,https://mubi.com/films/omar
The Idol,Ya tayr el tayer,2015,99,8.3,431,1,https://mubifinder.com/movie/the-idol-2015/,https://mubi.com/films/the-idol-2015
Huda's Salon,,2021,91,8.2,413,1,https://mubifinder.com/movie/huda-s-salon/,https://mubi.com/films/huda-s-salon
Last Nomads in Anatolia: Sarikecilis,Anadolu’nun Son Göçerleri: Sarıkeçililer,2010,76,9.1,802,1,https://mubifinder.com/movie/last-nomads-in-anatolia-sarikecililer/,https://mubi.com/films/last-nomads-in-anatolia-sarikecililer
Super Happy Forever,,2024,95,7.9,5104,209,https://mubifinder.com/movie/super-happy-forever/,https://mubi.com/films/super-happy-forever
Bye Bye Turtle,Adieu tortue,2024,25,7.3,672,1,https://mubifinder.com/movie/bye-bye-turtle/,https://mubi.com/films/bye-bye-turtle
The Friends,Natsu no niwa,1994,114,8.9,4190,194,https://mubifinder.com/movie/the-friends/,https://mubi.com/films/the-friends
Moving,お引越し | Ohikkoshi,1993,125,8.7,4334,197,https://mubifinder.com/movie/moving/,https://mubi.com/films/moving
Custody,Jusqu'à la garde,2017,94,8.2,1347,1,https://mubifinder.com/movie/jusqu-a-la-garde/,https://mubi.com/films/jusqu-a-la-garde
Pixote: The Law of the Weakest,Pixote: A Lei do Mais Fraco,1980,129,9.0,8393,152,https://mubifinder.com/movie/pixote-the-law-of-the-weakest/,https://mubi.com/films/pixote-the-law-of-the-weakest
Hakkı,,2024,95,8.4,1893,1,https://mubifinder.com/movie/hakki/,https://mubi.com/films/hakki
Fire at Sea,Fuocoammare,2016,114,7.8,1346,1,https://mubifinder.com/movie/fire-at-sea/,https://mubi.com/films/fire-at-sea
A Touch of Sin,天注定 | Tian zhu ding,2013,131,8.0,5808,8,https://mubifinder.com/movie/a-touch-of-sin/,https://mubi.com/films/a-touch-of-sin
We Need to Talk About Dilan,Dilan Hakkında Konuşmalıyız,2024,20,8.1,3314,1,https://mubifinder.com/movie/we-need-to-talk-about-dilan/,https://mubi.com/films/we-need-to-talk-about-dilan
Northwest Passage,,1990,94,9.5,27026,67,https://mubifinder.com/movie/northwest-passage-david-lynch/,https://mubi.com/films/northwest-passage-david-lynch
My Child,Benim Çocuğum,2013,81,9.4,1670,1,https://mubifinder.com/movie/my-child/,https://mubi.com/films/my-child
How to Blow Up a Pipeline,,2022,104,7.4,801,1,https://mubifinder.com/movie/how-to-blow-up-a-pipeline/,https://mubi.com/films/how-to-blow-up-a-pipeline
Tchaikovsky's Wife,Zhena Chaikovskogo | Жена Чайковского,2022,143,7.5,589,1,https://mubifinder.com/movie/tchaikovsky-s-wife/,https://mubi.com/films/tchaikovsky-s-wife
The Third Murder,三度目の殺人 | Sando-me no satsujin,2017,125,7.8,1891,16,https://mubifinder.com/movie/the-third-murder/,https://mubi.com/films/the-third-murder
After the Storm,Umi yori mo Mada Fukaku | 海よりもまだ深く,2016,118,8.1,3333,16,https://mubifinder.com/movie/after-the-storm-2016/,https://mubi.com/films/after-the-storm-2016
The Truth,La vérité,2019,107,7.2,2436,1,https://mubifinder.com/movie/the-truth-2019/,https://mubi.com/films/the-truth-2019
At Last,Sonunda,2023,20,6.6,592,1,https://mubifinder.com/movie/at-last-2023/,https://mubi.com/films/at-last-2023
The Watermelon Woman,,1996,85,8.7,10417,233,https://mubifinder.com/movie/the-watermelon-woman/,https://mubi.com/films/the-watermelon-woman
The Whale,,2022,117,7.5,3434,1,https://mubifinder.com/movie/the-whale-2021/,https://mubi.com/films/the-whale-2021
One of Those Days When Hemme Dies,Hemme'nin Öldüğü Günlerden Biri,2024,82,7.8,4162,1,https://mubifinder.com/movie/one-of-those-days-when-hemme-dies/,https://mubi.com/films/one-of-those-days-when-hemme-dies
The Teacup,,2015,5,6.7,528,1,https://mubifinder.com/movie/the-teacup/,https://mubi.com/films/the-teacup
C'mon C'mon,,2021,110,8.7,3997,4,https://mubifinder.com/movie/c-mon-c-mon/,https://mubi.com/films/c-mon-c-mon
The Code,,2024,100,7.0,1825,36,https://mubifinder.com/movie/the-code-2024/,https://mubi.com/films/the-code-2024
Carol,,2015,118,8.7,34347,34,https://mubifinder.com/movie/carol-2015/,https://mubi.com/films/carol-2015
Good Time,,2017,101,8.2,14360,17,https://mubifinder.com/movie/good-time/,https://mubi.com/films/good-time
Bad for a Moment,Mau por um momento,2024,15,6.7,2761,248,https://mubifinder.com/movie/bad-for-a-moment/,https://mubi.com/films/bad-for-a-moment
It's Not Me,C’est pas moi,2024,41,8.4,2853,200,https://mubifinder.com/movie/c-est-pas-moi/,https://mubi.com/films/c-est-pas-moi
Absent,Noksan,2024,24,6.2,436,1,https://mubifinder.com/movie/absent-2024/,https://mubi.com/films/absent-2024
September Says,,2024,100,7.3,2019,3,https://mubifinder.com/movie/september-says/,https://mubi.com/films/september-says
We Hit the Road,Yollara Düştük,2014,56,9.4,593,1,https://mubifinder.com/movie/we-hit-the-road/,https://mubi.com/films/we-hit-the-road
Ziazan,,2014,15,6.8,346,1,https://mubifinder.com/movie/ziazan/,https://mubi.com/films/ziazan
The Grand Siege,Büyük Kuşatma,2024,96,7.5,1070,1,https://mubifinder.com/movie/the-grand-siege/,https://mubi.com/films/the-grand-siege
Tendaberry,,2024,117,8.2,4355,248,https://mubifinder.com/movie/tendaberry/,https://mubi.com/films/tendaberry
