title,original_title,year,duration_mins,rating,votes,countries_available,url,mubi_url
Bicycle,Bisqilet,2010,17,7.7,1337,2,https://mubifinder.com/movie/bicycle-2010/,https://mubi.com/films/bicycle-2010
A Poet,Un Poeta,2025,123,9.1,1665,1,https://mubifinder.com/movie/a-poet-2025/,https://mubi.com/films/a-poet-2025
Serpico,,1973,130,8.0,3818,1,https://mubifinder.com/movie/serpico/,https://mubi.com/films/serpico
Sound of Falling,In die Sonne schauen,2025,155,8.2,2379,55,https://mubifinder.com/movie/sound-of-falling/,https://mubi.com/films/sound-of-falling
Agon,,2025,100,8.1,1297,248,https://mubifinder.com/movie/agon-2025/,https://mubi.com/films/agon-2025
Easy Rider,,1969,96,7.6,5073,1,https://mubifinder.com/movie/easy-rider/,https://mubi.com/films/easy-rider
Five Easy Pieces,,1970,98,8.0,3146,1,https://mubifinder.com/movie/five-easy-pieces/,https://mubi.com/films/five-easy-pieces
Shadow,影 | Ying,2018,116,7.8,858,16,https://mubifinder.com/movie/shadow-2018/,https://mubi.com/films/shadow-2018
Hugo,,2011,121,7.2,6244,4,https://mubifinder.com/movie/hugo/,https://mubi.com/films/hugo
Green Vinyl,Vinil Verde,2005,17,7.7,7025,230,https://mubifinder.com/movie/vinil-verde/,https://mubi.com/films/vinil-verde
Cold Tropics,Recife Frio,2009,25,8.8,5934,230,https://mubifinder.com/movie/cold-tropics/,https://mubi.com/films/cold-tropics
Friday Night Saturday Morning,"Noite de sexta, manhã de sábado",2006,16,7.0,2482,230,https://mubifinder.com/movie/friday-night-saturday-morning/,https://mubi.com/films/friday-night-saturday-morning
Eletrodoméstica,,2005,23,8.4,4196,230,https://mubifinder.com/movie/eletrodomestica/,https://mubi.com/films/eletrodomestica
Bacurau,,2019,131,8.4,12687,18,https://mubifinder.com/movie/bacurau/,https://mubi.com/films/bacurau
Aquarius,,2016,146,8.2,2413,1,https://mubifinder.com/movie/aquarius/,https://mubi.com/films/aquarius
Pompei: Below the Clouds,Sotto le nuvole,2025,114,8.6,3513,166,https://mubifinder.com/movie/pompei-below-the-clouds/,https://mubi.com/films/pompei-below-the-clouds
Endless Cookie,,2025,97,8.3,706,247,https://mubifinder.com/movie/endless-cookie/,https://mubi.com/films/endless-cookie
The Gold Rush,,1925,72,8.8,6994,1,https://mubifinder.com/movie/the-gold-rush/,https://mubi.com/films/the-gold-rush
Bitter Coffee,Acı Kahve,2024,92,7.1,430,1,https://mubifinder.com/movie/bitter-coffee-2024/,https://mubi.com/films/bitter-coffee-2024
Cheers to the End,Aç Karnına Çıkmayalım,2023,15,6.3,239,1,https://mubifinder.com/movie/cheers-to-the-end/,https://mubi.com/films/cheers-to-the-end
Magallanes,,2015,109,8.6,2093,1,https://mubifinder.com/movie/magallanes/,https://mubi.com/films/magallanes
28 Days Later,,2002,109,7.4,9955,1,https://mubifinder.com/movie/28-days-later/,https://mubi.com/films/28-days-later
My Father's Shadow,,2025,93,8.9,5565,161,https://mubifinder.com/movie/my-father-s-shadow/,https://mubi.com/films/my-father-s-shadow
Lizard,,2020,18,7.8,1027,248,https://mubifinder.com/movie/lizard-2020/,https://mubi.com/films/lizard-2020
Dream Scenario,,2023,102,7.4,2809,3,https://mubifinder.com/movie/dream-scenario/,https://mubi.com/films/dream-scenario
Longlegs,,2024,97,6.3,1491,1,https://mubifinder.com/movie/longlegs/,https://mubi.com/films/longlegs
Glass Curtain,Cam Perde,2023,86,7.3,2046,1,https://mubifinder.com/movie/glass-curtain/,https://mubi.com/films/glass-curtain
Fractured,Çatlak,2020,82,8.1,8887,1,https://mubifinder.com/movie/fractured-2020/,https://mubi.com/films/fractured-2020
Yellow Heat,Sarı Sıcak,2017,85,7.0,753,1,https://mubifinder.com/movie/yellow-heat/,https://mubi.com/films/yellow-heat
On the Waterfront,,1954,108,8.3,6150,1,https://mubifinder.com/movie/on-the-waterfront/,https://mubi.com/films/on-the-waterfront
Sans soleil,,1983,104,9.0,15351,186,https://mubifinder.com/movie/sans-soleil/,https://mubi.com/films/sans-soleil
Fruits of Passion,Les fruits de la passion,1981,79,6.6,6320,239,https://mubifinder.com/movie/fruits-of-passion/,https://mubi.com/films/fruits-of-passion
Empire of Passion,Ai no borei | 愛の亡霊,1978,105,7.6,6598,173,https://mubifinder.com/movie/empire-of-passion/,https://mubi.com/films/empire-of-passion
In the Realm of the Senses,愛のコリーダ | Ai no korīda,1976,102,7.8,15996,173,https://mubifinder.com/movie/in-the-realm-of-the-senses/,https://mubi.com/films/in-the-realm-of-the-senses
